sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-WS-AB45-01	TCGA-WS-AB45-01	12.9	12.15	10.95	11.89	10.28	10.39	11.68	Primary Tumor
TCGA-AZ-6607-01	TCGA-AZ-6607-01	12.01	12.43	11.84	11.82	11.55	11.33	11.42	Primary Tumor
TCGA-F4-6703-01	TCGA-F4-6703-01	11.66	12.2	10.37	12.3	11.09	11.22	12.06	Primary Tumor
TCGA-CM-6162-01	TCGA-CM-6162-01	11.61	12.06	11.16	11.76	11.14	11.15	12.08	Primary Tumor
TCGA-A6-6654-01	TCGA-A6-6654-01	11.58	11.52	11.1	12.16	11.39	11.01	11.77	Primary Tumor
TCGA-F4-6569-01	TCGA-F4-6569-01	11.55	12.43	11.03	11.7	11.53	10.99	11.75	Primary Tumor
TCGA-A6-6781-01	TCGA-A6-6781-01	11.46	12.35	9.988	11.84	11.4	10.88	11.23	Primary Tumor
TCGA-G4-6306-01	TCGA-G4-6306-01	11.43	12.52	11.29	11.64	12.18	10.82	11.78	Primary Tumor
TCGA-G4-6297-01	TCGA-G4-6297-01	11.42	12.09	10.57	11.91	11.58	11.69	11.6	Primary Tumor
TCGA-D5-6534-01	TCGA-D5-6534-01	11.38	13	10.93	11.88	11.22	11.08	11.88	Primary Tumor
TCGA-CA-6716-01	TCGA-CA-6716-01	11.35	11.38	10.4	11.23	11.42	11.17	11.57	Primary Tumor
TCGA-CM-6679-01	TCGA-CM-6679-01	11.33	12.34	11.34	11.51	11.84	10.97	11.47	Primary Tumor
TCGA-D5-6923-01	TCGA-D5-6923-01	11.3	12.57	10.97	11.41	12.05	11.08	11.76	Primary Tumor
TCGA-G4-6302-01	TCGA-G4-6302-01	11.29	12.44	11.01	11.89	10.94	10.94	11.59	Primary Tumor
TCGA-F4-6805-01	TCGA-F4-6805-01	11.28	12.12	10.91	11.68	11.3	11.22	11.85	Primary Tumor
TCGA-A6-6651-01	TCGA-A6-6651-01	11.28	11.87	10.58	12.06	11.88	10.5	11.26	Primary Tumor
TCGA-AZ-6605-01	TCGA-AZ-6605-01	11.27	12.4	10.96	11.67	11.47	10.95	11.76	Primary Tumor
TCGA-A6-5657-01	TCGA-A6-5657-01	11.25	12.49	10.79	11.09	10.75	10.79	11.68	Primary Tumor
TCGA-AA-3489-01	TCGA-AA-3489-01	11.24	12.13	10.71	11.88	11.13	10.75	11.34	Primary Tumor
TCGA-CM-6167-01	TCGA-CM-6167-01	11.24	11.95	11.11	11.69	11.42	10.5	11.61	Primary Tumor
TCGA-D5-6931-01	TCGA-D5-6931-01	11.23	12.56	10.62	11.59	11.04	11.41	11.83	Primary Tumor
TCGA-CM-6168-01	TCGA-CM-6168-01	11.23	12.46	11.28	11.72	10.92	11.19	12.08	Primary Tumor
TCGA-AA-3662-01	TCGA-AA-3662-01	11.14	11.83	10.59	10.99	11.39	10.89	12.37	Primary Tumor
TCGA-D5-5539-01	TCGA-D5-5539-01	11.13	11.54	10.84	11.78	10.98	11.56	12.02	Primary Tumor
TCGA-F4-6807-01	TCGA-F4-6807-01	11.06	12.33	10.34	11.88	11.2	11.34	11.29	Primary Tumor
TCGA-CM-4747-01	TCGA-CM-4747-01	11.04	11.83	10.09	11.63	11.58	11.15	12.04	Primary Tumor
TCGA-A6-5664-01	TCGA-A6-5664-01	11.03	11.97	10.55	11.66	11.05	11.13	11.62	Primary Tumor
TCGA-A6-A566-01	TCGA-A6-A566-01	11.01	12.23	11.13	11.77	10.77	10.77	11.95	Primary Tumor
TCGA-AA-3496-01	TCGA-AA-3496-01	11.01	12.06	10.98	11.98	11.96	11.23	11.79	Primary Tumor
TCGA-G4-6293-01	TCGA-G4-6293-01	11	12.55	10.95	11.61	11.52	11.3	11.82	Primary Tumor
TCGA-F4-6704-01	TCGA-F4-6704-01	10.98	12.05	11.42	11.35	11.76	11.72	11.39	Primary Tumor
TCGA-G4-6314-01	TCGA-G4-6314-01	10.95	12.26	11.01	11.9	11.22	11.04	11.62	Primary Tumor
TCGA-CK-6748-01	TCGA-CK-6748-01	10.95	11.92	10.92	11.76	11.66	11.07	11.29	Primary Tumor
TCGA-A6-2675-01	TCGA-A6-2675-01	10.94	12.56	11.28	11.8	11.6	11.24	11.78	Primary Tumor
TCGA-A6-6142-01	TCGA-A6-6142-01	10.91	12.47	10.78	11.87	11.74	10.92	11.49	Primary Tumor
TCGA-CK-5913-01	TCGA-CK-5913-01	10.89	12.45	11.04	11.64	11.17	11.96	12.17	Primary Tumor
TCGA-D5-6924-01	TCGA-D5-6924-01	10.89	11.94	10.64	11.92	11.95	10.78	11.16	Primary Tumor
TCGA-F4-6855-01	TCGA-F4-6855-01	10.87	12.35	10.82	11.63	11.15	11.03	11.03	Primary Tumor
TCGA-CM-6676-01	TCGA-CM-6676-01	10.87	12.28	11.12	11.97	12.45	10.93	11.25	Primary Tumor
TCGA-CK-4948-01	TCGA-CK-4948-01	10.86	12.92	10.91	11.86	11.66	10.58	11.53	Primary Tumor
TCGA-D5-6529-01	TCGA-D5-6529-01	10.86	11.82	10.71	11.79	11.37	11.06	12.03	Primary Tumor
