sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-DD-A3A6-01	TCGA-DD-A3A6-01	12.54	13.02	9.976	11.01	8.958	8.417	11.04	Primary Tumor
TCGA-CC-A9FV-01	TCGA-CC-A9FV-01	12.17	12.44	10.53	11.73	9.651	9.034	11.15	Primary Tumor
TCGA-CC-A7IJ-01	TCGA-CC-A7IJ-01	11.48	14.31	10.14	12.27	8.907	9.148	11.47	Primary Tumor
TCGA-DD-AA3A-01	TCGA-DD-AA3A-01	10.9	12.89	11.28	11.16	10.47	11.18	11.17	Primary Tumor
TCGA-CC-A3MA-01	TCGA-CC-A3MA-01	10.68	11.43	10.86	11.4	10.89	11.51	11.17	Primary Tumor
TCGA-DD-AAE0-01	TCGA-DD-AAE0-01	10.56	12.48	10.15	12.08	11.38	10.54	10.59	Primary Tumor
TCGA-FV-A3I0-01	TCGA-FV-A3I0-01	10.38	12.71	10.95	11.09	11.25	11.49	10.57	Primary Tumor
TCGA-RC-A6M5-01	TCGA-RC-A6M5-01	10.21	11.68	10.68	11.88	8.13	9.341	11.15	Primary Tumor
TCGA-YA-A8S7-01	TCGA-YA-A8S7-01	10.15	12.7	10.45	11.71	10.92	10.31	11.65	Primary Tumor
TCGA-K7-AAU7-01	TCGA-K7-AAU7-01	10.12	12.74	10.83	11.94	11.21	11.95	11.65	Primary Tumor
TCGA-BC-A10Q-01	TCGA-BC-A10Q-01	10.12	12.22	12.65	11.53	10.94	10.96	11.76	Primary Tumor
TCGA-DD-AADW-01	TCGA-DD-AADW-01	10.1	11.89	11.31	11.91	9.209	10.74	10.38	Primary Tumor
TCGA-CC-A3M9-01	TCGA-CC-A3M9-01	10.09	11.18	9.434	12.68	9.812	9.23	12	Primary Tumor
TCGA-DD-A4NN-01	TCGA-DD-A4NN-01	10.05	11.99	10.61	11.36	10.97	10.56	9.959	Primary Tumor
TCGA-2Y-A9H2-01	TCGA-2Y-A9H2-01	9.887	12.57	11.28	11.62	11.54	11.16	11.85	Primary Tumor
TCGA-GJ-A3OU-01	TCGA-GJ-A3OU-01	9.831	11.67	10.47	12.08	10.83	9.936	11.38	Primary Tumor
TCGA-CC-A7II-01	TCGA-CC-A7II-01	9.791	12.22	10.6	11.4	10.03	10.71	11.32	Primary Tumor
TCGA-DD-A4NB-01	TCGA-DD-A4NB-01	9.745	11.95	10.98	11.49	9.093	10.14	11.5	Primary Tumor
TCGA-FV-A3R3-01	TCGA-FV-A3R3-01	9.715	11.93	10.99	12.28	10.21	9.998	11.38	Primary Tumor
TCGA-DD-AAD1-01	TCGA-DD-AAD1-01	9.686	12.16	10.75	11.58	9.576	10.06	10.95	Primary Tumor
TCGA-MR-A8JO-01	TCGA-MR-A8JO-01	9.629	11.67	10.83	11.99	9.527	9.992	11.42	Primary Tumor
TCGA-ED-A66X-01	TCGA-ED-A66X-01	9.625	12.11	10.91	11.98	10.93	10.81	10.9	Primary Tumor
TCGA-5R-AA1D-01	TCGA-5R-AA1D-01	9.61	11.57	10.95	11.53	8.357	10.03	11.59	Primary Tumor
TCGA-G3-AAV1-01	TCGA-G3-AAV1-01	9.573	11.53	11.28	11.77	10.63	10.48	11.39	Primary Tumor
TCGA-RC-A6M6-01	TCGA-RC-A6M6-01	9.519	12.72	10.69	12.17	10.05	10.33	10.67	Primary Tumor
