sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-KB-A93G-01	TCGA-KB-A93G-01	13.84	11.43	11.15	10.94	12.16	11.09	11.24	Primary Tumor
TCGA-CG-4462-01	TCGA-CG-4462-01	12.54	11.5	11	11.42	11.19	11.25	11.9	Primary Tumor
TCGA-MX-A5UG-01	TCGA-MX-A5UG-01	12.47	11.12	10.88	10.99	11.04	11.07	11.06	Primary Tumor
TCGA-BR-8291-01	TCGA-BR-8291-01	12.46	11.85	11.06	10.99	11.67	11.08	11.49	Primary Tumor
TCGA-BR-6705-01	TCGA-BR-6705-01	12.43	11.49	10.72	11.3	10.71	9.673	10.93	Primary Tumor
TCGA-BR-A4IZ-01	TCGA-BR-A4IZ-01	12.38	11.64	10.99	10.93	10.53	10.55	11.68	Primary Tumor
TCGA-RD-A8N5-01	TCGA-RD-A8N5-01	12.38	11.46	11.3	10.93	11.34	10.69	11.05	Primary Tumor
TCGA-BR-6709-01	TCGA-BR-6709-01	12.28	12.76	10.48	11.93	10.68	10.36	11.87	Primary Tumor
TCGA-VQ-AA64-01	TCGA-VQ-AA64-01	12.26	11.8	11.47	11.28	12.6	10.96	11.17	Primary Tumor
TCGA-BR-4187-01	TCGA-BR-4187-01	12.26	10.86	11.18	11.41	10.47	10.83	11.78	Primary Tumor
TCGA-BR-A4IY-01	TCGA-BR-A4IY-01	12.21	12.57	11.37	11.7	11.88	10.43	11.33	Primary Tumor
TCGA-FP-7735-11	TCGA-FP-7735-11	12.1	10.7	10.83	11.56	10.53	8.788	10.21	Solid Tissue Normal
TCGA-BR-7957-01	TCGA-BR-7957-01	12.09	11.73	11.28	11.06	10.72	10.93	10.98	Primary Tumor
TCGA-D7-6818-01	TCGA-D7-6818-01	12.07	10.38	10.92	11.61	11.84	10.53	11	Primary Tumor
TCGA-BR-8380-01	TCGA-BR-8380-01	12.03	11.59	11.31	11.1	11.21	10.24	10.73	Primary Tumor
TCGA-BR-6457-01	TCGA-BR-6457-01	12.02	12.34	10.72	11.57	11.93	9.636	11.07	Primary Tumor
TCGA-D7-8578-01	TCGA-D7-8578-01	12.01	11.73	11.77	11.33	12.98	11.57	11.75	Primary Tumor
TCGA-CD-8530-01	TCGA-CD-8530-01	12	11.6	11.01	10.97	11.47	10.5	11.3	Primary Tumor
TCGA-RD-A8N2-01	TCGA-RD-A8N2-01	11.99	11.89	11.43	11.21	10.71	10.19	10.72	Primary Tumor
